ASPECT	VALUE	TYPE	SUPERCLASS	DOLCE
BOOK#TITLE	The Cat of Bubastes	title		
BOOK#TITLE	The Catcher in the Rye	title		
BOOK#TITLE	The Children of Húrin	title		
BOOK#TITLE	The Circle	title		
BOOK#TITLE	The Circular Staircase	title		
BOOK#TITLE	The Club of Queer Trades	title		
BOOK#TITLE	The Comedy of Errors	title		
BOOK#TITLE	The Complete Maus	title		
BOOK#TITLE	The Coral Island	title		
BOOK#TITLE	The Corrections	title		
BOOK#TITLE	The Cricket on the Hearth	title		
BOOK#TITLE	The Curious Case of Benjamin Button	title		
BOOK#TITLE	The Curse of Capistrano	title		
BOOK#TITLE	The Da Vinci Code	title		
BOOK#TITLE	The Daughter of Time	title		
BOOK#TITLE	The Eleventh Commandment	title		
BOOK#TITLE	The Elusive Pimpernel (Scarlet Pimpernel)	title		
BOOK#TITLE	The Emerald City of Oz	title		
BOOK#TITLE	The Enchanted April	title		
BOOK#TITLE	The Enchanted Castle	title		
BOOK#TITLE	The Essays of Elia	title		
BOOK#TITLE	The Europeans	title		
BOOK#TITLE	The Exploits of Brigadier Gerard	title		
BOOK#TITLE	The Eye of Osiris	title		
BOOK#TITLE	The Eyes of the Dragon	title		
BOOK#TITLE	The Fault in Our Stars	title		
BOOK#TITLE	The Federalist, or, The New Constitution	title		
BOOK#TITLE	The Fellowship of the Ring	title		
BOOK#TITLE	The Fifth Elephant	title		
BOOK#TITLE	The Forsyte Saga (various novels)	title		
BOOK#TITLE	The Girl on the Train	title		
BOOK#TITLE	The Glass Castle	title		
BOOK#TITLE	The Godfather	title		
BOOK#TITLE	The Golden Age	title		
BOOK#TITLE	The Goldfinch	title		
BOOK#TITLE	The Good Earth	title		
BOOK#TITLE	The Grapes of Wrath	title		
BOOK#TITLE	The Graveyard Book	title		
BOOK#TITLE	The Great Gatsby	title		
BOOK#TITLE	The Great God Pan	title		
BOOK#TITLE	The Guns of August	title		
BOOK#TITLE	The Gunslinger	title		
BOOK#TITLE	The Hard Way	title		
BOOK#TITLE	The Hate U Give	title		
BOOK#TITLE	The Haunted House	title		
BOOK#TITLE	The Haunted Man and the Ghost's Bargain	title		
BOOK#TITLE	The History of Rasselas, Prince of Abyssinia	title		
BOOK#TITLE	The History of Tom Jones	title		
BOOK#TITLE	The History of the Adventures of Joseph Andrews	title		
BOOK#TITLE	The Hobbit	title		
BOOK#TITLE	The Hound of the Baskervilles	title		
BOOK#TITLE	The House of Mirth	title		
BOOK#TITLE	The House of the Seven Gables	title		
BOOK#TITLE	The Hudson Bay Company	title		
BOOK#TITLE	The Hunchback of Notre Dame	title		
BOOK#TITLE	The Hunger Games	title		
BOOK#TITLE	The Hunting of the Snark	title		
BOOK#TITLE	The Importance of Being Earnest	title		
BOOK#TITLE	The Innocence of Father Brown (Father Brown Mystery)	title		
BOOK#TITLE	The Innocent Man	title		
BOOK#TITLE	The Innocents Abroad	title		
BOOK#TITLE	The Invisible Man	title		
BOOK#TITLE	The Island of Dr. Moreau	title		
BOOK#TITLE	The Jewel of Seven Stars	title		
BOOK#TITLE	The Jungle	title		
BOOK#TITLE	The Jungle Book	title		
BOOK#TITLE	The King in Yellow	title		
BOOK#TITLE	The Kite Runner	title		
BOOK#TITLE	The Lace Reader	title		
BOOK#TITLE	The Last Days of Pompeii	title		
BOOK#TITLE	The Last Man	title		
BOOK#TITLE	The Last of the Mohicans	title		
BOOK#TITLE	The League of the Scarlet Pimpernel	title		
BOOK#TITLE	The Legend of Sleepy Hollow	title		
BOOK#TITLE	The Life and Adventures of Nicholas Nickleby	title		
BOOK#TITLE	The Life of Charlotte Bronte	title		
BOOK#TITLE	The Lightning Thief	title		
BOOK#TITLE	The Lion, the Witch and the Wardrobe	title		
BOOK#TITLE	The Lodger	title		
BOOK#TITLE	The Lost Hero	title		
BOOK#TITLE	The Lost Symbol	title		
BOOK#TITLE	The Lost World	title		
BOOK#TITLE	The Magician	title		
BOOK#TITLE	The Magician's Nephew	title		
BOOK#TITLE	The Magnificent Ambersons	title		
BOOK#TITLE	The Man Who Was Thursday	title		
BOOK#TITLE	The Man Without a Country	title		
BOOK#TITLE	The Man in the Brown Suit	title		
BOOK#TITLE	The Man in the High Castle	title		
BOOK#TITLE	The Marble Faun	title		
BOOK#TITLE	The Mark of Athena	title		
BOOK#TITLE	The Martian	title		
BOOK#TITLE	The Martian Chronicles	title		
BOOK#TITLE	The Marvelous Land of Oz	title		
BOOK#TITLE	The Merry Wives of Windsor	title		
BOOK#TITLE	The Middle Temple Murder	title		
BOOK#TITLE	The Mill on the Floss	title		
BOOK#TITLE	The Moon is Down	title		
BOOK#TITLE	The Moonstone	title		
BOOK#TITLE	The Murder of Roger Ackroyd	title		
BOOK#TITLE	The Mysteries of Udolpho	title		
BOOK#TITLE	The Mysterious Affair at Styles	title		
BOOK#TITLE	The Name of the Wind	title		
BOOK#TITLE	The Napoleon of Notting Hill	title		
BOOK#TITLE	The Narrative of Arthur Gordon Pym	title		
BOOK#TITLE	The New Jim Crow	title		
BOOK#TITLE	The Night Before Christmas	title		
BOOK#TITLE	The Night Manager	title		
BOOK#TITLE	The Nightingale	title		
BOOK#TITLE	The No. 1 Ladies' Detective Agency	title		
BOOK#TITLE	The Norsemen in the West, or, America before Columbus	title		
BOOK#TITLE	The Norton Anthology of English Literature	title		
BOOK#TITLE	The Ocean at the End of the Lane	title		
BOOK#TITLE	The Old Curiosity Shop	title		
BOOK#TITLE	The Old Man and the Sea	title		
BOOK#TITLE	The Old Man in the Corner	title		
BOOK#TITLE	The Outsider	title		
BOOK#TITLE	The Passage	title		
BOOK#TITLE	The Pathfinder	title		
BOOK#TITLE	The Pelican Brief	title		
BOOK#TITLE	The Perks of Being a Wallflower	title		
BOOK#TITLE	The Phoenix and the Carpet	title		
BOOK#TITLE	The Picture of Dorian Gray	title		
BOOK#TITLE	The Pilgrim's Progress	title		
BOOK#TITLE	The Pillars of the Earth	title		
BOOK#TITLE	The Pit	title		
BOOK#TITLE	The Poems of Emily Dickinson Volume II	title		
BOOK#TITLE	The Poisonwood Bible	title		
BOOK#TITLE	The Power of Darkness	title		
BOOK#TITLE	The Prairie	title		
BOOK#TITLE	The Primer (The Book of Common Prayer)	title		
BOOK#TITLE	The Prince	title		
BOOK#TITLE	The Prince and the Pauper	title		
BOOK#TITLE	The Princess and the Goblin	title		
BOOK#TITLE	The Prophet	title		
BOOK#TITLE	The Railway Children	title		
BOOK#TITLE	The Rainbow	title		
BOOK#TITLE	The Rape of the Lock	title		
BOOK#TITLE	The Red Badge of Courage	title		
BOOK#TITLE	The Red Pyramid	title		
BOOK#TITLE	The Renaissance, Studies in Art and Poetry	title		
BOOK#TITLE	The Return of Sherlock Holmes	title		
BOOK#TITLE	The Return of the King	title		
BOOK#TITLE	The Return of the Native	title		
BOOK#TITLE	The Riddle of the Sands	title		
BOOK#TITLE	The Road	title		
BOOK#TITLE	The Roman Breviary	title		
BOOK#TITLE	The Rosie Project	title		
BOOK#TITLE	The Running Man	title		
BOOK#TITLE	The Saint' everlasting rest	title		
BOOK#TITLE	The Sayings of Lao Tzü	title		
BOOK#TITLE	The Scarlet Letter	title		
BOOK#TITLE	The Scarlet Pimpernel	title		
BOOK#TITLE	The Sea of Monsters	title		
BOOK#TITLE	The Sea-Hawk	title		
BOOK#TITLE	The Sea-Wolf	title		
BOOK#TITLE	The Second Jungle Book	title		
BOOK#TITLE	The Second World War	title		
BOOK#TITLE	The Secret Adversary	title		
BOOK#TITLE	The Secret Agent	title		
BOOK#TITLE	The Secret Garden	title		
BOOK#TITLE	The Secret History	title		
BOOK#TITLE	The Selection (The Selection #1)	title		
BOOK#TITLE	The Shining	title		
BOOK#TITLE	The Shock Doctrine	title		
BOOK#TITLE	The Sign of Four	title		
BOOK#TITLE	The Silmarillion	title		
BOOK#TITLE	The Son of Neptune	title		
BOOK#TITLE	The Song of Hiawatha and Other Poems	title		
BOOK#TITLE	The Souls of Black Folk	title		
BOOK#TITLE	The Stand	title		
BOOK#TITLE	The State of the World Atlas	title		
BOOK#TITLE	The Story of Doctor Dolittle	title		
BOOK#TITLE	The Story of the Treasure Seekers	title		
BOOK#TITLE	The Strange Case of Dr. Jekyll and Mr. Hyde	title		
BOOK#TITLE	The Subtle Art of Not Giving a F*ck	title		
BOOK#TITLE	The Sum of All Fears	title		
BOOK#TITLE	The Sun Also Rises	title		
BOOK#TITLE	The Surgeon (Jane Rizzoli, Book 1)	title		
BOOK#TITLE	The Tale of Peter Rabbit	title		
BOOK#TITLE	The Taming of the Shrew	title		
BOOK#TITLE	The Tenant of Wildfell Hall	title		
BOOK#TITLE	The The Guernsey Literary and Potato Peel Pie Society	title		
BOOK#TITLE	The Thirty-Nine Steps	title		
BOOK#TITLE	The Time Machine	title		
BOOK#TITLE	The Tin Woodman of Oz	title		
BOOK#TITLE	The Titan's Curse	title		
BOOK#TITLE	The Tragedy of Pudd'nhead Wilson	title		
BOOK#TITLE	The Turn of the Screw	title		
BOOK#TITLE	The Two Towers	title		
BOOK#TITLE	The Ugly Truth	title		
BOOK#TITLE	The Underground Railroad	title		
BOOK#TITLE	The Unlikely Pilgrimage of Harold Fry	title		
BOOK#TITLE	The Valley of Fear	title		
BOOK#TITLE	The War of the Worlds	title		
BOOK#TITLE	The Waves	title		
BOOK#TITLE	The Wealth of Nations	title		
BOOK#TITLE	The White Company	title		
BOOK#TITLE	The White Queen	title		
BOOK#TITLE	The Wind in the Willows	title		
BOOK#TITLE	The Winner	title		
BOOK#TITLE	The Wisdom of Father Brown	title		
BOOK#TITLE	The Wishing Spell	title		
BOOK#TITLE	The Woman in White	title		
BOOK#TITLE	The Wonderful Wizard of Oz	title		
BOOK#TITLE	The Wouldbegoods	title		
BOOK#TITLE	The adventures of Captain Bonneville, U.S.A.	title		
BOOK#TITLE	The blue castle	title		
BOOK#TITLE	The book of tea	title		
BOOK#TITLE	The complete poetical works	title		
BOOK#TITLE	The complete works of Robert Browning Volume XVI	title		
BOOK#TITLE	The deerslayer	title		
BOOK#TITLE	The deluge: an historical novel of Poland, Sweden and Russia	title		
BOOK#TITLE	The education of Henry Adams	title		
BOOK#TITLE	The enemy	title		
BOOK#TITLE	The gold coast	title		
BOOK#TITLE	The golden road	title		
BOOK#TITLE	The gorilla hunters	title		
BOOK#TITLE	The great controversy	title		
BOOK#TITLE	The history of the great plague in London in the year 1665	title		
BOOK#TITLE	The holy war	title		
BOOK#TITLE	The house of the four winds	title		
BOOK#TITLE	The lady of the lake	title		
BOOK#TITLE	The life of Olaudah Equiano, or Gustavus Vassa, the African	title		
BOOK#TITLE	The little white bird, or, Adventures in Kensington gardens	title		
BOOK#TITLE	The lives of the XII. Cæsars	title		
BOOK#TITLE	The lovely bones	title		
BOOK#TITLE	The master of Ballantrae	title		
BOOK#TITLE	The moon and sixpence	title		
BOOK#TITLE	The most dangerous game	title		
BOOK#TITLE	The mystery of Edwin Drood	title		
BOOK#TITLE	The octopus, a story of California	title		
BOOK#TITLE	The pioneers	title		
BOOK#TITLE	The principall navigations, voiages, and discoveries of the English nations	title		
BOOK#TITLE	The school for scandal, 1780	title		
BOOK#TITLE	The secret life of bees	title		
BOOK#TITLE	The signature of all things	title		
BOOK#TITLE	The sketch-book of Geoffrey Crayon, Esq	title		
BOOK#TITLE	The song of Hiawatha	title		
BOOK#TITLE	The sorrows of Satan, or, The strange experience of one Geoffrey Tempest, millionaire ; a romance	title		
BOOK#TITLE	The spy	title		
BOOK#TITLE	The story girl	title		
BOOK#TITLE	The story of the other wise man	title		
BOOK#TITLE	The three hostages	title		
BOOK#TITLE	The uncommercial traveller	title		
BOOK#TITLE	The water-babies	title		
BOOK#TITLE	The way of all flesh	title		
BOOK#TITLE	The works of Hubert Howe Bancroft	title		
BOOK#TITLE	The years	title		
BOOK#TITLE	Think and Grow Rich	title		
BOOK#TITLE	Thinking, fast and slow	title		
BOOK#TITLE	This Side of Paradise	title		
BOOK#TITLE	Three Men in a Boat (to say nothing of the dog)	title		
BOOK#TITLE	Three cups of tea	title		
BOOK#TITLE	Through the Looking-Glass	title		
BOOK#TITLE	Time Traveler's Wife	title		
BOOK#TITLE	To the Lighthouse	title		
BOOK#TITLE	Tom Sawyer, Detective	title		
BOOK#TITLE	Treasure Island	title		
BOOK#TITLE	Trent's Last Case	title		
BOOK#TITLE	Trial for Murder	title		
BOOK#TITLE	Twelfth Night	title		
BOOK#TITLE	Twelve years a slave	title		
BOOK#TITLE	Twenty Wishes	title		
BOOK#TITLE	Twice-Told Tales	title		
BOOK#TITLE	Two Gentlemen of Verona	title		
BOOK#TITLE	Typee	title		
BOOK#TITLE	Ulysses	title		
BOOK#TITLE	Under the Dome	title		
BOOK#TITLE	Under the Greenwood Tree or, The Mellstock quire	title		
BOOK#TITLE	Unseen Academicals	title		
BOOK#TITLE	Up from Slavery	title		
BOOK#TITLE	Vacation Under the Volcano	title		
BOOK#TITLE	Vanity Fair	title		
BOOK#TITLE	WHAT KATY DID AT SCHOOL	title		
BOOK#TITLE	War Horse	title		
BOOK#TITLE	War and Peace	title		
BOOK#TITLE	Washington Square	title		
BOOK#TITLE	Water for Elephants	title		
BOOK#TITLE	What If?	title		
BOOK#TITLE	What Katy Did	title		
BOOK#TITLE	What Maisie Knew	title		
BOOK#TITLE	When Breath Becomes Air	title		
BOOK#TITLE	When the Sleeper Awakes	title		
BOOK#TITLE	Where the Crawdads Sing	title		
BOOK#TITLE	Where the Wild Things Are	title		
BOOK#TITLE	White Fang	title		
BOOK#TITLE	Whose Body?	title		
BOOK#TITLE	Why shoot a butler?	title		
BOOK#TITLE	Wilhelm Tell	title		
BOOK#TITLE	Winter's Tale	title		
BOOK#TITLE	Wish You Well	title		
BOOK#TITLE	Witch Wood	title		
BOOK#TITLE	Without fail	title		
BOOK#TITLE	Wolf Hall	title		
BOOK#TITLE	Women in Love	title		
BOOK#TITLE	Works (Awakening / Beyond the Bayou / Desiree's Baby / Kiss / Locket / Ma'ame Pelagie / Pair of Silk Stockings / Reflection / Respectable Woman)	title		
BOOK#TITLE	Works [37 plays, 6 poems, sonnets]	title		
BOOK#TITLE	World Without End	title		
BOOK#TITLE	Wulf the Saxon	title		
BOOK#TITLE	Wuthering Heights	title		
CONTENT#CHARACTER	(Fictitious characters) British	subject_people		
CONTENT#CHARACTER	71-hour Ahmed (Fictitious character)	subject_people		
CONTENT#CHARACTER	A Boy	subject_people		
CONTENT#CHARACTER	A Captain	fictional human		
CONTENT#CHARACTER	A. Square	subject_people		
CONTENT#CHARACTER	Abel Magwitch	fictional character		
CONTENT#CHARACTER	Achille Carracci	subject_people		
CONTENT#CHARACTER	Achilles (Mythological character)	subject_people		
CONTENT#CHARACTER	Achilles (Mythological character) in literature	subject_people		
CONTENT#CHARACTER	Adam Smith (1723-1790)	subject_people		
CONTENT#CHARACTER	Addison Mizner	subject_people		
CONTENT#CHARACTER	Adso of Melk	fictional human		
CONTENT#CHARACTER	Aeschylus.  Prometheus bound	subject_people		
CONTENT#CHARACTER	Agathocles Tyrant of Syracuse (361-289 BC)	subject_people		
CONTENT#CHARACTER	Alerie Hightower	subject_people		
CONTENT#CHARACTER	Alex Cross (Fictitious character)	subject_people		
CONTENT#CHARACTER	Alexander the Great (356-323 BC)	subject_people		
CONTENT#CHARACTER	Alexander the Great (358-323 BCE)	subject_people		
CONTENT#CHARACTER	Alfonso VI of León and Castile	human		
CONTENT#CHARACTER	Alice (Fictitious character from Carroll)	subject_people		
CONTENT#CHARACTER	Alice Appleton	subject_people		
CONTENT#CHARACTER	Alice Cullen	fantasy film character		
CONTENT#CHARACTER	Alice Maxwell	subject_people		
CONTENT#CHARACTER	Alice More	subject_people		
CONTENT#CHARACTER	Alice Rucastle	subject_people		
CONTENT#CHARACTER	Alice Turner	subject_people		
CONTENT#CHARACTER	Alice Wellyfed	subject_people		
CONTENT#CHARACTER	Alicia Donadio (Fictional Character)	subject_people		
CONTENT#CHARACTER	Alonso	subject_people		
CONTENT#CHARACTER	Alonso Quijano	comics character		
CONTENT#CHARACTER	Americans	subject_people		
CONTENT#CHARACTER	Amory Lorch	subject_people		
CONTENT#CHARACTER	Amy March	fictional human		
CONTENT#CHARACTER	Andrew Summers Rowan	subject_people		
CONTENT#CHARACTER	Angua von Überwald (Fictitious character)	subject_people		
CONTENT#CHARACTER	Angua von Überwald (Werewolf; Fictitious character)	subject_people		
CONTENT#CHARACTER	Anne Shelton	subject_people		
CONTENT#CHARACTER	Anson Wheeler	subject_people		
CONTENT#CHARACTER	Anthony Charter (Fictional Character)	subject_people		
CONTENT#CHARACTER	Anthony Hope (1863-1933)	subject_people		
CONTENT#CHARACTER	Anya Waynwood	subject_people		
CONTENT#CHARACTER	Aquinas, Saint, 1225-1274 Thomas	subject_people		
CONTENT#CHARACTER	Aragorn (Strider)	subject_people		
CONTENT#CHARACTER	Archduke Charles of Austria	subject_people		
CONTENT#CHARACTER	Archibald Hamilton Rowan	human		
CONTENT#CHARACTER	Aristote	subject_people		
CONTENT#CHARACTER	Aristotle	subject_people		
CONTENT#CHARACTER	Aristotle (384-322 B.C)	subject_people		
CONTENT#CHARACTER	Artemis Fowl (Fictitious character)	subject_people		
CONTENT#CHARACTER	Arthur Hastings	fictional human		
CONTENT#CHARACTER	Arthur Holmwood	fictional human		
CONTENT#CHARACTER	Arthur M. Burns	subject_people		
CONTENT#CHARACTER	Arthur Wellesley, 1st Duke of Wellington	human		
CONTENT#CHARACTER	Aslan the Lion (Fictitious character)	subject_people		
CONTENT#CHARACTER	Aston Clinton	subject_people		
CONTENT#CHARACTER	Atticus Finch (Fictitious character)	subject_people		
CONTENT#CHARACTER	August Pullman	subject_people		
CONTENT#CHARACTER	Augusta Longbottom	pureblood		
CONTENT#CHARACTER	Augustine Saint, Bishop of Hippo	subject_people		
CONTENT#CHARACTER	Augustine of Hippo, Saint (354-430)	subject_people		
CONTENT#CHARACTER	Aunt Beatrice	subject_people		
CONTENT#CHARACTER	Aunt March	fictional human		
CONTENT#CHARACTER	Aunt of the boy	subject_people		
CONTENT#CHARACTER	Auntie (Fictional Character)	subject_people		
CONTENT#CHARACTER	Avery Arable	subject_people		
CONTENT#CHARACTER	Axell Florent	subject_people		
CONTENT#CHARACTER	Baker Brown	subject_people		
CONTENT#CHARACTER	Baker Street Irregulars	subject_people		
CONTENT#CHARACTER	Barack Hussein Obama (1961-)	subject_people		
CONTENT#CHARACTER	Barack Obama	subject_people		
CONTENT#CHARACTER	Barack Obama (1961-)	subject_people		
CONTENT#CHARACTER	Bard the Bowman	subject_people		
CONTENT#CHARACTER	Barty Crouch	fantasy film character		
CONTENT#CHARACTER	Beatrice	fictional human		
CONTENT#CHARACTER	Beatrice	subject_people		
CONTENT#CHARACTER	Beatrice Prior	fictional human		
CONTENT#CHARACTER	Beatrice Quimby	subject_people		
CONTENT#CHARACTER	Becky Thatcher	fictional human		
CONTENT#CHARACTER	Beth March	fictional human		
CONTENT#CHARACTER	Beth Wilson	subject_people		
CONTENT#CHARACTER	Big Brother	fictional human		
CONTENT#CHARACTER	Big Driver	subject_people		
CONTENT#CHARACTER	Big Man Assare	subject_people		
CONTENT#CHARACTER	Big Nate	subject_people		
CONTENT#CHARACTER	Bill	subject_people		
CONTENT#CHARACTER	Bill Clinton	subject_people		
CONTENT#CHARACTER	Bill Gates	subject_people		
CONTENT#CHARACTER	Bill Hodges	subject_people		
CONTENT#CHARACTER	Bill Sikes	fictional human		
CONTENT#CHARACTER	Bill Weasley	fantasy film character		
CONTENT#CHARACTER	Bill the Lizard	fictional lizard		
CONTENT#CHARACTER	Bin Sun (4th cent. B.C)	subject_people		
CONTENT#CHARACTER	Black Dog	fictional human		
CONTENT#CHARACTER	Black Riders	subject_people		
CONTENT#CHARACTER	Bob Ewell	subject_people		
CONTENT#CHARACTER	Bob Self	subject_people		
CONTENT#CHARACTER	Bobbie Burns.	subject_people		
CONTENT#CHARACTER	Booker T. Washington	subject_people		
CONTENT#CHARACTER	Booker T. Washington (1856-1915)	subject_people		
CONTENT#CHARACTER	Boreas	subject_people		
CONTENT#CHARACTER	Bradley Throckmorton	subject_people		
CONTENT#CHARACTER	Breckinridge	subject_people		
CONTENT#CHARACTER	Brian Ayers	subject_people		
CONTENT#CHARACTER	Brian Walls	subject_people		
CONTENT#CHARACTER	Brides of Dracula	fictional group of characters		
CONTENT#CHARACTER	Brother Michael	fictional human		
CONTENT#CHARACTER	Bryan Smith	subject_people		
CONTENT#CHARACTER	Bryen Farring	subject_people		
CONTENT#CHARACTER	Bum (Fictitious character)	subject_people		
CONTENT#CHARACTER	Bürgi Family	subject_people		
CONTENT#CHARACTER	C. K. Scott-Moncrieff (1889-1930)	subject_people		
CONTENT#CHARACTER	C.M.O.T. Dibbler (Fictitious character)	subject_people		
CONTENT#CHARACTER	Caleb Jones Hightop (Fictional Character)	subject_people		
CONTENT#CHARACTER	Calliope	mythical character		
CONTENT#CHARACTER	Candy Brown	subject_people		
CONTENT#CHARACTER	Captain	subject_people		
CONTENT#CHARACTER	Captain Beatty	subject_people		
CONTENT#CHARACTER	Captain Carter	fictional human		
CONTENT#CHARACTER	Captain Donelson	fictional human		
CONTENT#CHARACTER	Captain Flint	fictional human		
CONTENT#CHARACTER	Captain Nemo	fictional human		
CONTENT#CHARACTER	Captain Phoebus	fictional human		
CONTENT#CHARACTER	Carcer (Fictitious character)	subject_people		
CONTENT#CHARACTER	Carol	subject_people		
CONTENT#CHARACTER	Carol Heaton	subject_people		
CONTENT#CHARACTER	Caroline Bingley	fictional human		
CONTENT#CHARACTER	Caroline of Anspach	subject_people		
CONTENT#CHARACTER	Carolyn Sturges	subject_people		
CONTENT#CHARACTER	Carrot Ironfoundersson (Fictitious character)	subject_people		
CONTENT#CHARACTER	Cassie Throckmorton	subject_people		
CONTENT#CHARACTER	Catherine Bennet	fictional human		
CONTENT#CHARACTER	Catherine Cusack	subject_people		
CONTENT#CHARACTER	Catherine Earnshaw	fictional human		
