ASPECT	VALUE	TYPE	DOLCE
BOOK#TITLE	Nighttime Is My Time	title	InformationEntity
BOOK#TITLE	Nineteen Eighty-Four	title	InformationEntity
BOOK#TITLE	Northern Lights	title	InformationEntity
BOOK#TITLE	Of Human Bondage	title	InformationEntity
BOOK#TITLE	Of Mice and Men	title	InformationEntity
BOOK#TITLE	On Chesil Beach	title	InformationEntity
BOOK#TITLE	On Liberty	title	InformationEntity
BOOK#TITLE	On The Beach	title	InformationEntity
BOOK#TITLE	On The Road	title	InformationEntity
BOOK#TITLE	On Writing	title	InformationEntity
BOOK#TITLE	On the origin of species by means of natural selection	title	InformationEntity
BOOK#TITLE	One Shot	title	InformationEntity
BOOK#TITLE	One for the Money	title	InformationEntity
BOOK#TITLE	Only Time Will Tell	title	InformationEntity
BOOK#TITLE	Othello	title	InformationEntity
BOOK#TITLE	Our American hero	title	InformationEntity
BOOK#TITLE	Our Mutual Friend	title	InformationEntity
BOOK#TITLE	Ozma of Oz	title	InformationEntity
BOOK#TITLE	Paper towns	title	InformationEntity
BOOK#TITLE	Paul Klee	title	InformationEntity
BOOK#TITLE	Philosophical essays concerning human understanding	title	InformationEntity
BOOK#TITLE	Pickwick Papers	title	InformationEntity
BOOK#TITLE	Pirate Latitudes	title	InformationEntity
BOOK#TITLE	Plain tales from the hills	title	InformationEntity
BOOK#TITLE	Plays (36)	title	InformationEntity
BOOK#TITLE	Poems by John Keats	title	InformationEntity
BOOK#TITLE	Poirot investigates	title	InformationEntity
BOOK#TITLE	Pollyanna Grows Up	title	InformationEntity
BOOK#TITLE	Prester John	title	InformationEntity
BOOK#TITLE	Principles of internal medicine	title	InformationEntity
BOOK#TITLE	Puck of Pook's Hill	title	InformationEntity
BOOK#TITLE	Pygmalion	title	InformationEntity
BOOK#TITLE	Quentin Durward, or, The fortunate Scotsman	title	InformationEntity
BOOK#TITLE	Rainbow Valley	title	InformationEntity
BOOK#TITLE	Ready Player One	title	InformationEntity
BOOK#TITLE	Rewards and fairies	title	InformationEntity
BOOK#TITLE	Rights of Man	title	InformationEntity
BOOK#TITLE	Rime of the ancient mariner	title	InformationEntity
BOOK#TITLE	Rising Sun	title	InformationEntity
BOOK#TITLE	Rodrick Rules	title	InformationEntity
BOOK#TITLE	Room	title	InformationEntity
BOOK#TITLE	Roughing It	title	InformationEntity
BOOK#TITLE	Rubaiyat of Omar Khayyam	title	InformationEntity
BOOK#TITLE	Run for your life	title	InformationEntity
BOOK#TITLE	Rupert of Hentzau [by] Anthony Hope [pseud.] being the sequel to a story by the same writer, entitled The prisoner of Zenda	title	InformationEntity
BOOK#TITLE	Sailing alone around the world	title	InformationEntity
BOOK#TITLE	Saint Francis of Assisi	title	InformationEntity
BOOK#TITLE	Salute to Adventurers	title	InformationEntity
BOOK#TITLE	Sense and Sensibility	title	InformationEntity
BOOK#TITLE	Seven pillars of wisdom, a triumph	title	InformationEntity
BOOK#TITLE	Sharp Objects	title	InformationEntity
BOOK#TITLE	She	title	InformationEntity
BOOK#TITLE	She Stoops To Conquer	title	InformationEntity
BOOK#TITLE	Six of Crows	title	InformationEntity
BOOK#TITLE	Sketches by Boz	title	InformationEntity
BOOK#TITLE	Song of Solomon	title	InformationEntity
BOOK#TITLE	Sons and Lovers	title	InformationEntity
BOOK#TITLE	Speaker for the Dead	title	InformationEntity
BOOK#TITLE	Split Second	title	InformationEntity
BOOK#TITLE	Spoon River Anthology	title	InformationEntity
BOOK#TITLE	Stalky and Co	title	InformationEntity
BOOK#TITLE	State of Fear	title	InformationEntity
BOOK#TITLE	Steve Jobs	title	InformationEntity
BOOK#TITLE	Stone Cold	title	InformationEntity
BOOK#TITLE	Study Guide	title	InformationEntity
BOOK#TITLE	Summa Theologica	title	InformationEntity
BOOK#TITLE	Sybil, or, The Two Nations	title	InformationEntity
BOOK#TITLE	Sylvie and Bruno	title	InformationEntity
BOOK#TITLE	Tales from Shakespeare [20 tales]	title	InformationEntity
BOOK#TITLE	Tales of my landlord, Second series. The Heart of Mid-Lothian	title	InformationEntity
BOOK#TITLE	Tales of the Jazz Age	title	InformationEntity
BOOK#TITLE	Tarzan of the Apes	title	InformationEntity
BOOK#TITLE	Telegraph Avenue	title	InformationEntity
BOOK#TITLE	Tender is the Night	title	InformationEntity
BOOK#TITLE	The  black arrow	title	InformationEntity
BOOK#TITLE	The  light that failed	title	InformationEntity
BOOK#TITLE	The A.B.C. Murders	title	InformationEntity
BOOK#TITLE	The Admirable Crichton	title	InformationEntity
BOOK#TITLE	The Adventures of Gerard	title	InformationEntity
BOOK#TITLE	The Adventures of Sherlock Holmes [12 stories]	title	InformationEntity
BOOK#TITLE	The Adventures of Tom Sawyer	title	InformationEntity
BOOK#TITLE	The Affair	title	InformationEntity
BOOK#TITLE	The Age of Innocence	title	InformationEntity
BOOK#TITLE	The Alchemist	title	InformationEntity
BOOK#TITLE	The Alchemist, 1612	title	InformationEntity
BOOK#TITLE	The Alhambra	title	InformationEntity
BOOK#TITLE	The Alibi	title	InformationEntity
BOOK#TITLE	The Amber Spyglass	title	InformationEntity
BOOK#TITLE	The American	title	InformationEntity
BOOK#TITLE	The Appeal	title	InformationEntity
BOOK#TITLE	The Art of War	title	InformationEntity
BOOK#TITLE	The BFG	title	InformationEntity
BOOK#TITLE	The Barrack-Room Ballads of Rudyard Kipling	title	InformationEntity
BOOK#TITLE	The Beautiful and Damned	title	InformationEntity
BOOK#TITLE	The Bell Jar	title	InformationEntity
BOOK#TITLE	The Bluest Eye	title	InformationEntity
BOOK#TITLE	The Book Thief	title	InformationEntity
BOOK#TITLE	The Bostonians	title	InformationEntity
BOOK#TITLE	The Boy in the Striped Pyjamas	title	InformationEntity
BOOK#TITLE	The Brief Wondrous Life of Oscar Wao	title	InformationEntity
BOOK#TITLE	The Buried Giant	title	InformationEntity
BOOK#TITLE	The Call of the Wild	title	InformationEntity
BOOK#TITLE	The Carrie diaries	title	InformationEntity
BOOK#TITLE	The Case-Book of Sherlock Holmes	title	InformationEntity
BOOK#TITLE	The Castle of Otranto	title	InformationEntity
BOOK#TITLE	The Casual Vacancy	title	InformationEntity
BOOK#TITLE	The Cat of Bubastes	title	InformationEntity
BOOK#TITLE	The Catcher in the Rye	title	InformationEntity
BOOK#TITLE	The Children of Húrin	title	InformationEntity
BOOK#TITLE	The Circle	title	InformationEntity
BOOK#TITLE	The Circular Staircase	title	InformationEntity
BOOK#TITLE	The Club of Queer Trades	title	InformationEntity
BOOK#TITLE	The Comedy of Errors	title	InformationEntity
BOOK#TITLE	The Complete Maus	title	InformationEntity
BOOK#TITLE	The Coral Island	title	InformationEntity
BOOK#TITLE	The Corrections	title	InformationEntity
BOOK#TITLE	The Cricket on the Hearth	title	InformationEntity
BOOK#TITLE	The Curious Case of Benjamin Button	title	InformationEntity
BOOK#TITLE	The Curse of Capistrano	title	InformationEntity
BOOK#TITLE	The Da Vinci Code	title	InformationEntity
BOOK#TITLE	The Daughter of Time	title	InformationEntity
BOOK#TITLE	The Eleventh Commandment	title	InformationEntity
BOOK#TITLE	The Elusive Pimpernel (Scarlet Pimpernel)	title	InformationEntity
BOOK#TITLE	The Emerald City of Oz	title	InformationEntity
BOOK#TITLE	The Enchanted April	title	InformationEntity
BOOK#TITLE	The Enchanted Castle	title	InformationEntity
BOOK#TITLE	The Essays of Elia	title	InformationEntity
BOOK#TITLE	The Europeans	title	InformationEntity
BOOK#TITLE	The Exploits of Brigadier Gerard	title	InformationEntity
BOOK#TITLE	The Eye of Osiris	title	InformationEntity
BOOK#TITLE	The Eyes of the Dragon	title	InformationEntity
BOOK#TITLE	The Fault in Our Stars	title	InformationEntity
BOOK#TITLE	The Federalist, or, The New Constitution	title	InformationEntity
BOOK#TITLE	The Fellowship of the Ring	title	InformationEntity
BOOK#TITLE	The Fifth Elephant	title	InformationEntity
BOOK#TITLE	The Forsyte Saga (various novels)	title	InformationEntity
BOOK#TITLE	The Girl on the Train	title	InformationEntity
BOOK#TITLE	The Glass Castle	title	InformationEntity
BOOK#TITLE	The Godfather	title	InformationEntity
BOOK#TITLE	The Golden Age	title	InformationEntity
BOOK#TITLE	The Goldfinch	title	InformationEntity
BOOK#TITLE	The Good Earth	title	InformationEntity
BOOK#TITLE	The Grapes of Wrath	title	InformationEntity
BOOK#TITLE	The Graveyard Book	title	InformationEntity
BOOK#TITLE	The Great Gatsby	title	InformationEntity
BOOK#TITLE	The Great God Pan	title	InformationEntity
BOOK#TITLE	The Guns of August	title	InformationEntity
BOOK#TITLE	The Gunslinger	title	InformationEntity
BOOK#TITLE	The Hard Way	title	InformationEntity
BOOK#TITLE	The Hate U Give	title	InformationEntity
BOOK#TITLE	The Haunted House	title	InformationEntity
BOOK#TITLE	The Haunted Man and the Ghost's Bargain	title	InformationEntity
BOOK#TITLE	The History of Rasselas, Prince of Abyssinia	title	InformationEntity
BOOK#TITLE	The History of Tom Jones	title	InformationEntity
BOOK#TITLE	The History of the Adventures of Joseph Andrews	title	InformationEntity
BOOK#TITLE	The Hobbit	title	InformationEntity
BOOK#TITLE	The Hound of the Baskervilles	title	InformationEntity
BOOK#TITLE	The House of Mirth	title	InformationEntity
BOOK#TITLE	The House of the Seven Gables	title	InformationEntity
BOOK#TITLE	The Hudson Bay Company	title	InformationEntity
BOOK#TITLE	The Hunchback of Notre Dame	title	InformationEntity
BOOK#TITLE	The Hunger Games	title	InformationEntity
BOOK#TITLE	The Hunting of the Snark	title	InformationEntity
BOOK#TITLE	The Importance of Being Earnest	title	InformationEntity
BOOK#TITLE	The Innocence of Father Brown (Father Brown Mystery)	title	InformationEntity
BOOK#TITLE	The Innocent Man	title	InformationEntity
BOOK#TITLE	The Innocents Abroad	title	InformationEntity
BOOK#TITLE	The Invisible Man	title	InformationEntity
BOOK#TITLE	The Island of Dr. Moreau	title	InformationEntity
BOOK#TITLE	The Jewel of Seven Stars	title	InformationEntity
BOOK#TITLE	The Jungle	title	InformationEntity
BOOK#TITLE	The Jungle Book	title	InformationEntity
BOOK#TITLE	The King in Yellow	title	InformationEntity
BOOK#TITLE	The Kite Runner	title	InformationEntity
BOOK#TITLE	The Lace Reader	title	InformationEntity
BOOK#TITLE	The Last Days of Pompeii	title	InformationEntity
BOOK#TITLE	The Last Man	title	InformationEntity
BOOK#TITLE	The Last of the Mohicans	title	InformationEntity
BOOK#TITLE	The League of the Scarlet Pimpernel	title	InformationEntity
BOOK#TITLE	The Legend of Sleepy Hollow	title	InformationEntity
BOOK#TITLE	The Life and Adventures of Nicholas Nickleby	title	InformationEntity
BOOK#TITLE	The Life of Charlotte Bronte	title	InformationEntity
BOOK#TITLE	The Lightning Thief	title	InformationEntity
BOOK#TITLE	The Lion, the Witch and the Wardrobe	title	InformationEntity
BOOK#TITLE	The Lodger	title	InformationEntity
BOOK#TITLE	The Lost Hero	title	InformationEntity
BOOK#TITLE	The Lost Symbol	title	InformationEntity
BOOK#TITLE	The Lost World	title	InformationEntity
BOOK#TITLE	The Magician	title	InformationEntity
BOOK#TITLE	The Magician's Nephew	title	InformationEntity
BOOK#TITLE	The Magnificent Ambersons	title	InformationEntity
BOOK#TITLE	The Man Who Was Thursday	title	InformationEntity
BOOK#TITLE	The Man Without a Country	title	InformationEntity
BOOK#TITLE	The Man in the Brown Suit	title	InformationEntity
BOOK#TITLE	The Man in the High Castle	title	InformationEntity
BOOK#TITLE	The Marble Faun	title	InformationEntity
BOOK#TITLE	The Mark of Athena	title	InformationEntity
BOOK#TITLE	The Martian	title	InformationEntity
BOOK#TITLE	The Martian Chronicles	title	InformationEntity
BOOK#TITLE	The Marvelous Land of Oz	title	InformationEntity
BOOK#TITLE	The Merry Wives of Windsor	title	InformationEntity
BOOK#TITLE	The Middle Temple Murder	title	InformationEntity
BOOK#TITLE	The Mill on the Floss	title	InformationEntity
BOOK#TITLE	The Moon is Down	title	InformationEntity
BOOK#TITLE	The Moonstone	title	InformationEntity
BOOK#TITLE	The Murder of Roger Ackroyd	title	InformationEntity
BOOK#TITLE	The Mysteries of Udolpho	title	InformationEntity
BOOK#TITLE	The Mysterious Affair at Styles	title	InformationEntity
BOOK#TITLE	The Name of the Wind	title	InformationEntity
BOOK#TITLE	The Napoleon of Notting Hill	title	InformationEntity
BOOK#TITLE	The Narrative of Arthur Gordon Pym	title	InformationEntity
BOOK#TITLE	The New Jim Crow	title	InformationEntity
BOOK#TITLE	The Night Before Christmas	title	InformationEntity
BOOK#TITLE	The Night Manager	title	InformationEntity
BOOK#TITLE	The Nightingale	title	InformationEntity
BOOK#TITLE	The No. 1 Ladies' Detective Agency	title	InformationEntity
BOOK#TITLE	The Norsemen in the West, or, America before Columbus	title	InformationEntity
BOOK#TITLE	The Norton Anthology of English Literature	title	InformationEntity
BOOK#TITLE	The Ocean at the End of the Lane	title	InformationEntity
BOOK#TITLE	The Old Curiosity Shop	title	InformationEntity
BOOK#TITLE	The Old Man and the Sea	title	InformationEntity
BOOK#TITLE	The Old Man in the Corner	title	InformationEntity
BOOK#TITLE	The Outsider	title	InformationEntity
BOOK#TITLE	The Passage	title	InformationEntity
BOOK#TITLE	The Pathfinder	title	InformationEntity
BOOK#TITLE	The Pelican Brief	title	InformationEntity
BOOK#TITLE	The Perks of Being a Wallflower	title	InformationEntity
BOOK#TITLE	The Phoenix and the Carpet	title	InformationEntity
BOOK#TITLE	The Picture of Dorian Gray	title	InformationEntity
BOOK#TITLE	The Pilgrim's Progress	title	InformationEntity
BOOK#TITLE	The Pillars of the Earth	title	InformationEntity
BOOK#TITLE	The Pit	title	InformationEntity
BOOK#TITLE	The Poems of Emily Dickinson Volume II	title	InformationEntity
BOOK#TITLE	The Poisonwood Bible	title	InformationEntity
BOOK#TITLE	The Power of Darkness	title	InformationEntity
BOOK#TITLE	The Prairie	title	InformationEntity
BOOK#TITLE	The Primer (The Book of Common Prayer)	title	InformationEntity
BOOK#TITLE	The Prince	title	InformationEntity
BOOK#TITLE	The Prince and the Pauper	title	InformationEntity
BOOK#TITLE	The Princess and the Goblin	title	InformationEntity
BOOK#TITLE	The Prophet	title	InformationEntity
BOOK#TITLE	The Railway Children	title	InformationEntity
BOOK#TITLE	The Rainbow	title	InformationEntity
BOOK#TITLE	The Rape of the Lock	title	InformationEntity
BOOK#TITLE	The Red Badge of Courage	title	InformationEntity
BOOK#TITLE	The Red Pyramid	title	InformationEntity
BOOK#TITLE	The Renaissance, Studies in Art and Poetry	title	InformationEntity
BOOK#TITLE	The Return of Sherlock Holmes	title	InformationEntity
BOOK#TITLE	The Return of the King	title	InformationEntity
BOOK#TITLE	The Return of the Native	title	InformationEntity
BOOK#TITLE	The Riddle of the Sands	title	InformationEntity
BOOK#TITLE	The Road	title	InformationEntity
BOOK#TITLE	The Roman Breviary	title	InformationEntity
BOOK#TITLE	The Rosie Project	title	InformationEntity
BOOK#TITLE	The Running Man	title	InformationEntity
BOOK#TITLE	The Saint' everlasting rest	title	InformationEntity
BOOK#TITLE	The Sayings of Lao Tzü	title	InformationEntity
BOOK#TITLE	The Scarlet Letter	title	InformationEntity
BOOK#TITLE	The Scarlet Pimpernel	title	InformationEntity
BOOK#TITLE	The Sea of Monsters	title	InformationEntity
BOOK#TITLE	The Sea-Hawk	title	InformationEntity
BOOK#TITLE	The Sea-Wolf	title	InformationEntity
BOOK#TITLE	The Second Jungle Book	title	InformationEntity
BOOK#TITLE	The Second World War	title	InformationEntity
BOOK#TITLE	The Secret Adversary	title	InformationEntity
BOOK#TITLE	The Secret Agent	title	InformationEntity
BOOK#TITLE	The Secret Garden	title	InformationEntity
BOOK#TITLE	The Secret History	title	InformationEntity
BOOK#TITLE	The Selection (The Selection #1)	title	InformationEntity
BOOK#TITLE	The Shining	title	InformationEntity
BOOK#TITLE	The Shock Doctrine	title	InformationEntity
BOOK#TITLE	The Sign of Four	title	InformationEntity
BOOK#TITLE	The Silmarillion	title	InformationEntity
BOOK#TITLE	The Son of Neptune	title	InformationEntity
BOOK#TITLE	The Song of Hiawatha and Other Poems	title	InformationEntity
BOOK#TITLE	The Souls of Black Folk	title	InformationEntity
BOOK#TITLE	The Stand	title	InformationEntity
BOOK#TITLE	The State of the World Atlas	title	InformationEntity
BOOK#TITLE	The Story of Doctor Dolittle	title	InformationEntity
BOOK#TITLE	The Story of the Treasure Seekers	title	InformationEntity
BOOK#TITLE	The Strange Case of Dr. Jekyll and Mr. Hyde	title	InformationEntity
BOOK#TITLE	The Subtle Art of Not Giving a F*ck	title	InformationEntity
BOOK#TITLE	The Sum of All Fears	title	InformationEntity
BOOK#TITLE	The Sun Also Rises	title	InformationEntity
BOOK#TITLE	The Surgeon (Jane Rizzoli, Book 1)	title	InformationEntity
BOOK#TITLE	The Tale of Peter Rabbit	title	InformationEntity
BOOK#TITLE	The Taming of the Shrew	title	InformationEntity
BOOK#TITLE	The Tenant of Wildfell Hall	title	InformationEntity
BOOK#TITLE	The The Guernsey Literary and Potato Peel Pie Society	title	InformationEntity
BOOK#TITLE	The Thirty-Nine Steps	title	InformationEntity
BOOK#TITLE	The Time Machine	title	InformationEntity
BOOK#TITLE	The Tin Woodman of Oz	title	InformationEntity
BOOK#TITLE	The Titan's Curse	title	InformationEntity
BOOK#TITLE	The Tragedy of Pudd'nhead Wilson	title	InformationEntity
BOOK#TITLE	The Turn of the Screw	title	InformationEntity
BOOK#TITLE	The Two Towers	title	InformationEntity
BOOK#TITLE	The Ugly Truth	title	InformationEntity
BOOK#TITLE	The Underground Railroad	title	InformationEntity
BOOK#TITLE	The Unlikely Pilgrimage of Harold Fry	title	InformationEntity
BOOK#TITLE	The Valley of Fear	title	InformationEntity
BOOK#TITLE	The War of the Worlds	title	InformationEntity
BOOK#TITLE	The Waves	title	InformationEntity
BOOK#TITLE	The Wealth of Nations	title	InformationEntity
BOOK#TITLE	The White Company	title	InformationEntity
BOOK#TITLE	The White Queen	title	InformationEntity
BOOK#TITLE	The Wind in the Willows	title	InformationEntity
BOOK#TITLE	The Winner	title	InformationEntity
BOOK#TITLE	The Wisdom of Father Brown	title	InformationEntity
BOOK#TITLE	The Wishing Spell	title	InformationEntity
BOOK#TITLE	The Woman in White	title	InformationEntity
BOOK#TITLE	The Wonderful Wizard of Oz	title	InformationEntity
BOOK#TITLE	The Wouldbegoods	title	InformationEntity
BOOK#TITLE	The adventures of Captain Bonneville, U.S.A.	title	InformationEntity
BOOK#TITLE	The blue castle	title	InformationEntity
